Parameter,miller,evan,fasham,spitz,schartau,Oschlies,spitz2001,averaged,best_std,best_rms,Denman2003,final,default
SolarK,1373,1373,1373,1373,1373,1373,1373,1373,1373,1373,1373,1373,1373
AtmAtt,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ParFrac ,0.48,0.48,0.41,0.41,0.43,0.43,0.43,0.422,0.422,0.422,0.422,0.41,0.41
kdw,0.04,0.1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
kdp,0.03,0.12,0.03,0.04,0.047,0.03,0.028,0.035,0.035,0.035,0.03,0.03,0.03
ks,1.5,0.5,0.5,0.5,0.7,0.5,0.59,0.558,0.558,0.558,0.1,0.5,0.5
Nd,10,10,10,10,10,10,10,10,10,10,10,2.5,2.5
Nut,5.4541,5.4541,5.4541,5.4541,5.4541,5.4541,5.4541,5.4541,5.4541,5.4541,5.4541,0.85,0.1
Mprev,62,62,62,62,62,62,62,62,62,62,62,62,53
alpha,0.04,0.04,0.025,0.025,0.0256,0.025,0.025,0.02512,0.02512,0.02512,0.08,0.025,0.025
Vmax,0.7,0.7,1,0.7,0.6,0.6,0.7,0.72,1.1,0.5,1.5,0.6,1.2
P ,1.1228,1.1228,1.1228,1.1228,1.1228,1.1228,1.1228,1.1228,1.1228,1.1228,1.1228,0.2,0.2
m,0.07,0.07,0.2,0.09,0.09,0.09,0.09,0.112,0.39,0.14,0.05,0.09,0.09
P0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
c,0.35,1,1,1,1.575,2,0.78,1.271,0.9,1.6,1.5,1,0
kappa,1,1,1,1,1,1,0.69,0.938,1,0.938,1.35,1,0
Gamma,0.35,0.5,0.75,0.75,0.75,0.75,0.72,0.744,0.744,0.744,0.7,0.5,0.5
Z,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048,0.1,0.25
CN,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.05,0.2
a,,,,,,,,,,,,2,2
k_e,,,,,,,,,,,,1,1
frac,,,,,,,,,,,,0.025,0.025
theta,,,,,,,,,,,,0.2,0.2
beta,,,,,,,,,,,,0.45,0.45
k_cn,,,,,,,,,,,,0.2,0.2
alpha_sub,,,,,,,,,,,,0.256,0.256
Vmax_sub,,,,,,,,,,,,0.27,0.27
a_sub,,,,,,,,,,,,1.575,1.575
k_e_sub,,,,,,,,,,,,1.6,1.6
Gamma_sub,,,,,,,,,,,,0.5,0.9
m_sub,,,,,,,,,,,,0.053,0.05
cn_sub,,,,,,,,,,,,0.013,0.34
P_sub,,,,,,,,,,,,0.1,0.1
Z_sub,,,,,,,,,,,,0.01,0.025
MEU,,,,,,,,,,,,,320
